"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"ENSG00000214255",0.1388017,0.8946997,3.533812,0.2531826,0.8001271,NA,FALSE
"ENSG00000214259",0,NA,NA,NA,NA,NA,NA
"ENSG00000214262",0,NA,NA,NA,NA,NA,NA
"ENSG00000214263",2.861015,-0.009273137,2.019263,-0.004592338,0.9963359,NA,FALSE
"ENSG00000214264",0.1226236,-0.5479728,3.533812,-0.1550657,0.8767696,NA,FALSE
"ENSG00000214265",21.68333,-0.3780934,0.4516672,-0.837106,0.402533,0.6998464,FALSE
"ENSG00000214266",0,NA,NA,NA,NA,NA,NA
"ENSG00000214268",0,NA,NA,NA,NA,NA,NA
"ENSG00000214269",0.8127535,-1.218129,1.959256,-0.6217306,0.5341191,NA,FALSE
"ENSG00000214273",0.6370863,-0.2996656,3.458536,-0.0866452,0.9309535,NA,FALSE
"ENSG00000214274",183.9886,0.9984867,0.2218195,4.501347,6.752407e-06,0.0001524072,FALSE
"ENSG00000214278",0,NA,NA,NA,NA,NA,NA
"ENSG00000214279",54.9662,-0.154812,0.3135474,-0.4937436,0.6214873,0.8491302,FALSE
"ENSG00000214280",1.373389,-0.3648968,1.739067,-0.2098234,0.8338055,NA,FALSE
"ENSG00000214281",0,NA,NA,NA,NA,NA,NA
"ENSG00000214282",2.958824,0.7468206,1.183374,0.6310944,0.5279788,NA,FALSE
"ENSG00000214283",0,NA,NA,NA,NA,NA,NA
"ENSG00000214285",0,NA,NA,NA,NA,NA,NA
"ENSG00000214286",0,NA,NA,NA,NA,NA,NA
"ENSG00000214288",0,NA,NA,NA,NA,NA,NA
"ENSG00000214289",0.9006982,3.390604,2.536155,1.336907,0.181253,NA,NA
"ENSG00000214290",10.43824,-0.6921838,0.6436726,-1.075366,0.2822108,0.5837316,FALSE
"ENSG00000214295",0,NA,NA,NA,NA,NA,NA
"ENSG00000214297",0.2614253,0.1733657,3.533812,0.04905913,0.9608722,NA,FALSE
"ENSG00000214298",0.0897385,0.8946997,3.533812,0.2531826,0.8001271,NA,FALSE
"ENSG00000214300",74.01658,0.1265093,0.2617693,0.4832857,0.6288929,0.8541264,FALSE
"ENSG00000214301",0,NA,NA,NA,NA,NA,NA
"ENSG00000214309",25.83109,-0.4109996,0.4894117,-0.839783,0.4010301,0.6990792,FALSE
"ENSG00000214313",0,NA,NA,NA,NA,NA,NA
"ENSG00000214318",0,NA,NA,NA,NA,NA,NA
"ENSG00000214319",0.1361651,-0.5479728,3.533812,-0.1550657,0.8767696,NA,FALSE
"ENSG00000214321",0.1060739,-0.5479728,3.533812,-0.1550657,0.8767696,NA,FALSE
"ENSG00000214322",0,NA,NA,NA,NA,NA,NA
"ENSG00000214326",0,NA,NA,NA,NA,NA,NA
"ENSG00000214329",0,NA,NA,NA,NA,NA,NA
"ENSG00000214330",0,NA,NA,NA,NA,NA,NA
"ENSG00000214331",94.27097,-0.2482797,0.2644191,-0.9389629,0.3477498,0.6514269,FALSE
"ENSG00000214335",0,NA,NA,NA,NA,NA,NA
"ENSG00000214336",1.683541,0.4075754,1.343054,0.303469,0.7615324,NA,FALSE
"ENSG00000214338",73.42635,0.01086364,0.2091257,0.05194787,0.9585702,0.9901045,FALSE
"ENSG00000214342",0,NA,NA,NA,NA,NA,NA
"ENSG00000214344",0.2130927,-1.231274,3.528719,-0.3489294,0.7271423,NA,FALSE
"ENSG00000214351",0,NA,NA,NA,NA,NA,NA
"ENSG00000214354",0.2285402,1.539409,3.522956,0.4369652,0.6621366,NA,FALSE
"ENSG00000214357",151.6928,-0.602441,0.3537025,-1.703242,0.0885228,0.2927468,FALSE
"ENSG00000214359",0.2448756,0.1733657,3.533812,0.04905913,0.9608722,NA,FALSE
"ENSG00000214360",0.7237502,2.029682,2.331879,0.8704065,0.3840783,NA,NA
"ENSG00000214362",0.2130927,-1.231274,3.528719,-0.3489294,0.7271423,NA,FALSE
"ENSG00000214366",0,NA,NA,NA,NA,NA,NA
"ENSG00000214367",221.3261,-0.0331996,0.1553078,-0.2137664,0.8307292,0.9498439,FALSE
"ENSG00000214369",0.9461777,0.755649,1.678282,0.4502516,0.652529,NA,FALSE
"ENSG00000214374",0,NA,NA,NA,NA,NA,NA
"ENSG00000214376",15.95914,0.1206026,0.4925048,0.2448761,0.8065524,0.938767,FALSE
"ENSG00000214380",0,NA,NA,NA,NA,NA,NA
"ENSG00000214389",5.156606,-1.268116,0.94064,-1.348142,0.1776127,NA,FALSE
"ENSG00000214391",1.195698,-1.018185,1.761933,-0.5778796,0.5633454,NA,FALSE
"ENSG00000214402",132.4412,-0.8865698,0.4300198,-2.061695,0.03923678,0.1696377,FALSE
"ENSG00000214405",0,NA,NA,NA,NA,NA,NA
"ENSG00000214413",246.779,0.2150017,0.2241137,0.9593422,0.3373864,0.6428125,FALSE
"ENSG00000214414",0,NA,NA,NA,NA,NA,NA
"ENSG00000214415",0,NA,NA,NA,NA,NA,NA
"ENSG00000214417",0.2130927,-1.231274,3.528719,-0.3489294,0.7271423,NA,FALSE
"ENSG00000214424",0,NA,NA,NA,NA,NA,NA
"ENSG00000214425",396.648,-0.1478437,0.221637,-0.6670536,0.5047379,0.77371,FALSE
"ENSG00000214428",0,NA,NA,NA,NA,NA,NA
"ENSG00000214429",0,NA,NA,NA,NA,NA,NA
"ENSG00000214433",1.870796,-0.936728,1.328124,-0.7053018,0.4806224,NA,FALSE
"ENSG00000214434",0,NA,NA,NA,NA,NA,NA
"ENSG00000214435",64.23994,-0.4066479,0.3025152,-1.344223,0.1788763,0.4497147,FALSE
"ENSG00000214439",6.492467,-0.1281427,0.7731867,-0.1657332,0.868367,NA,FALSE
"ENSG00000214447",34.72271,-1.368078,0.4030143,-3.394614,0.0006872532,0.007670191,FALSE
"ENSG00000214455",169.5814,-0.03431016,0.473599,-0.0724456,0.9422473,0.9850471,FALSE
"ENSG00000214456",10.56532,1.342001,0.6870558,1.953264,0.05078834,0.2031499,FALSE
"ENSG00000214457",0,NA,NA,NA,NA,NA,NA
"ENSG00000214460",0.4164051,2.267663,3.48235,0.6511875,0.5149254,NA,NA
"ENSG00000214465",0.5087515,1.190927,3.504252,0.3398519,0.7339681,NA,FALSE
"ENSG00000214484",0,NA,NA,NA,NA,NA,NA
"ENSG00000214485",8.687092,-0.3927127,0.7649107,-0.5134098,0.6076647,NA,FALSE
"ENSG00000214487",0.1060739,-0.5479728,3.533812,-0.1550657,0.8767696,NA,FALSE
"ENSG00000214491",20.1928,0.1234782,0.7027673,0.1757029,0.8605274,0.9600554,FALSE
"ENSG00000214510",2.399413,-1.005556,1.092663,-0.9202802,0.3574264,NA,FALSE
"ENSG00000214511",0.1361651,-0.5479728,3.533812,-0.1550657,0.8767696,NA,FALSE
"ENSG00000214513",2.085366,-1.080523,1.129308,-0.9568013,0.3386675,NA,FALSE
"ENSG00000214514",3.173675,-0.4151633,1.950634,-0.2128351,0.8314556,NA,FALSE
